"id";"code";"name"
"3b4fc8c1-692c-48c3-809c-f585ea9ccea1";"code_1";"name_1"
"57daf438-1004-4784-bfef-dfd600a9c028";"code_2";"name_2"
"b5c9a408-cd18-4729-bc9b-3baf59bb8a6c";"code_3";"name_3"
"babb476e-8453-4482-b86c-34fbcbd8d37b";"code_4";"name_4"
"4d2b8d31-898c-461f-8816-3b2252bb0e19";"code_5";"name_5"
"aa00f30a-39ea-4b15-85fb-63c36ecfb944";"code_6";"name_6"
"73c71b84-2f46-463e-adf6-be5dde90a760";"code_7";"name_7"
"d3c0295f-8466-4c31-8636-1c89ef849ac3";"code_8";"name_8"
"b30c97de-b23c-4789-b309-b07601378224";"code_9";"name_9"
"1fcd3666-0b3e-4d6c-84fb-2a82ce7b7be6";"code_10";"name_10"
"0be581f7-e2cc-4ba6-86bb-3b9051f4f9b3";"code_11";"name_11"
"6ad7063e-85d3-43f9-9072-0ee525105593";"code_12";"name_12"
"322fa24b-a1ef-4808-acda-e2ac39ff204b";"code_13";"name_13"
"83888f73-7f35-4cef-90fd-8ca747777c16";"code_14";"name_14"
"17263b13-59a7-4ade-97e9-3f15b89c2615";"code_15";"name_15"
"0547c403-dc11-48b8-a40d-00c4423e5a2c";"code_16";"name_16"
"fc4c6465-1af9-4c2c-9b6e-a95233b22ac0";"code_17";"name_17"
"ea2370fe-0505-464a-a3cd-cc1b023a39f5";"code_18";"name_18"
"c6e66971-26c2-46ee-bb5e-514c821e10e4";"code_19";"name_19"
"0f26b891-32b3-45bd-8b22-9b88df7e6a20";"code_20";"name_20"
"1f142249-2c23-48ec-9d47-29e37b78c856";"code_21";"name_21"
"fc4a4de2-2f02-4bd1-beb2-30e318e18019";"code_22";"name_22"
"999fd8a8-3809-4b93-bdc9-cda572b9d123";"code_23";"name_23"
"c76a37ec-675a-47f5-983d-8c97acf41a56";"code_24";"name_24"
"3e8c5bb1-d1c2-4c89-a0c4-40701a87aaf0";"code_25";"name_25"
"8287a20b-136c-4497-9a3c-a7d531d27dd4";"code_26";"name_26"
"36c833b9-39af-4936-b137-70bd979c3c6d";"code_27";"name_27"
"f1eaa4fe-b608-4a30-b0e7-9a4821fae5a5";"code_28";"name_28"
"50bcf4ba-978a-4c11-b8e4-d92e55717f23";"code_29";"name_29"
"ee5827fe-2d52-4e4b-95bc-19abfc1f9dc7";"code_30";"name_30"
"e5b366ac-a1c8-4d09-8ea4-d0f4365cdc82";"code_31";"name_31"
"a9842d1f-a703-4d89-9236-1389d0352bc6";"code_32";"name_32"
"0732be5e-8624-4fc0-8603-2d25a465c835";"code_33";"name_33"
"f096002d-eaef-49d3-8d11-13c1bc455708";"code_34";"name_34"
"35bfb600-f9ce-4c54-975e-4bf51a2903bb";"code_35";"name_35"
"6eff4fb6-dbb4-4b5b-ac7e-a2ca23028619";"code_36";"name_36"
"93f3bb9f-79cc-4064-ad32-6a7b58e208ea";"code_37";"name_37"
"aca4f645-1690-4c7d-8d3d-1047174adc98";"code_38";"name_38"
"d69b71b9-8ea3-4cca-9c4a-eda9d2155de7";"code_39";"name_39"
"755030fe-5f6f-4c6e-af71-0e18dbf9fb14";"code_40";"name_40"
"4fd91142-d1cf-428a-b892-e9c0a6faf77a";"code_41";"name_41"
"b15ae72f-e959-4ba0-8fea-ea91545fc803";"code_42";"name_42"
"5f1fc1e4-204d-4117-a94e-79a1d30373e6";"code_43";"name_43"
"c8352810-b2a1-4497-a4c4-63d42894b3a5";"code_44";"name_44"
"713c60b2-6984-4448-be2f-f7beb0b8759d";"code_45";"name_45"
"b9600d3b-e23d-45cd-8217-740459b9b45c";"code_46";"name_46"
"7dfeba49-0d6b-4efe-9125-e47482b8a96a";"code_47";"name_47"
"3740294a-cc1a-43c5-8025-b4bd1408c76e";"code_48";"name_48"
"203fefec-76c6-4d7d-ac0a-2feb88e5578f";"code_49";"name_49"
"c37cd25b-5232-47db-8d00-115b24f36cff";"code_50";"name_50"
"e7a0aeb6-c07a-4fa5-840a-2dc2b24ee649";"code_51";"name_51"
"1a090f0d-786b-42e3-8885-a21377fdebd5";"code_52";"name_52"
"47b0f124-2f55-4ebb-b8ae-84a4d9f2dbf4";"code_53";"name_53"
"d4e401d9-fec2-427e-af22-3961fd880696";"code_54";"name_54"
"310f65ff-a2d5-4ab1-95d3-35f210405245";"code_55";"name_55"
"927646a6-5611-4991-81bd-f5afe3479d05";"code_56";"name_56"
"1020ea27-3a9a-4eb6-abaa-6c0085ccf6de";"code_57";"name_57"
"911c5574-865b-40fa-b148-474f6867f7bc";"code_58";"name_58"
"254f0185-96cd-4666-bb28-0d6bad1e45b9";"code_59";"name_59"
"5296550e-a433-4364-9792-32e952dfe3fb";"code_60";"name_60"
"d8b1117b-95d9-4636-8b1b-faa9650ffb7b";"code_61";"name_61"
"780d0764-af75-40ca-a684-144bf5feb6d8";"code_62";"name_62"
