sku,name,price,weight_kg,in_stock
SKU-0001,so,382.48,21.581,True
SKU-0002,company,418.67,4.97,False
SKU-0003,offer,864.39,5.627,True
SKU-0004,like,275.77,8.08,True
SKU-0005,Republican,282.55,17.638,True
SKU-0006,heavy,542.74,8.855,True
SKU-0007,herself,978.56,22.34,False
SKU-0008,eye,144.56,8.317,True
SKU-0009,town,865.25,2.659,True
SKU-0010,effect,890.19,23.104,False
SKU-0011,give,69.05,19.845,False
SKU-0012,could,826.89,14.029,True
SKU-0013,develop,129.63,11.17,True
SKU-0014,drop,836.94,8.545,False
SKU-0015,new,840.18,4.286,False
SKU-0016,ability,945.18,21.346,True
SKU-0017,describe,844.25,7.568,False
SKU-0018,sort,224.51,19.314,False
SKU-0019,social,53.74,1.543,True
SKU-0020,money,571.42,6.269,False
SKU-0021,describe,523.51,5.503,True
SKU-0022,save,660.2,16.172,False
SKU-0023,deal,451.55,23.618,True
SKU-0024,benefit,93.32,22.434,True
SKU-0025,final,298.19,24.334,False
SKU-0026,a,453.88,9.387,True
SKU-0027,region,810.34,19.256,False
SKU-0028,employee,497.68,10.378,True
SKU-0029,guess,898.93,3.05,False
SKU-0030,picture,487.64,12.221,False
SKU-0031,lot,441.46,7.017,True
SKU-0032,production,297.14,0.71,True
SKU-0033,everybody,561.25,17.26,True
SKU-0034,rate,554.89,0.754,True
SKU-0035,edge,138.54,12.719,True
SKU-0036,why,406.9,19.68,False
SKU-0037,season,548.89,21.128,True
SKU-0038,me,337.38,23.112,True
SKU-0039,product,994.74,9.216,False
SKU-0040,meeting,108.36,24.047,True
SKU-0041,wonder,649.26,0.499,True
SKU-0042,development,337.25,23.375,False
SKU-0043,body,244.87,5.987,False
SKU-0044,apply,16.0,12.852,True
SKU-0045,white,216.45,1.4,True
SKU-0046,hot,786.63,13.119,True
SKU-0047,figure,381.62,21.322,False
SKU-0048,today,545.7,21.434,True
SKU-0049,analysis,37.74,15.727,False
SKU-0050,education,211.66,19.774,True
SKU-0051,school,886.91,8.384,True
SKU-0052,them,453.19,2.57,False
SKU-0053,left,47.18,7.367,True
SKU-0054,fine,82.9,2.429,False
SKU-0055,different,945.72,7.639,False
SKU-0056,light,348.25,17.844,False
SKU-0057,real,347.29,8.389,False
SKU-0058,then,177.42,21.571,True
SKU-0059,him,858.51,23.81,True
SKU-0060,away,48.31,10.491,True
SKU-0061,better,678.38,10.873,False
SKU-0062,answer,812.79,15.844,True
SKU-0063,product,384.39,7.896,True
SKU-0064,very,879.6,1.831,True
SKU-0065,decade,714.37,1.919,True
SKU-0066,word,807.18,14.182,True
SKU-0067,prove,340.3,23.055,True
SKU-0068,our,162.54,1.467,True
SKU-0069,stock,84.82,16.138,True
SKU-0070,drug,355.48,16.989,True
SKU-0071,feel,411.33,7.393,False
SKU-0072,build,507.71,0.962,False
SKU-0073,network,649.63,23.351,False
SKU-0074,some,753.86,21.504,False
SKU-0075,case,709.42,20.052,True
SKU-0076,charge,889.83,8.271,True
SKU-0077,able,821.61,7.172,False
SKU-0078,what,300.38,22.558,True
SKU-0079,establish,410.54,5.168,True
SKU-0080,remain,868.49,20.167,False
SKU-0081,not,263.67,15.962,True
SKU-0082,look,35.76,21.329,True
SKU-0083,soon,421.84,4.182,True
SKU-0084,add,347.15,20.039,False
SKU-0085,approach,741.29,24.143,False
SKU-0086,group,421.65,18.093,True
SKU-0087,dark,80.13,12.876,True
SKU-0088,dark,26.7,15.065,False
SKU-0089,prove,459.7,16.948,True
SKU-0090,big,306.38,24.784,True
SKU-0091,financial,584.06,23.1,True
SKU-0092,produce,396.24,21.777,True
SKU-0093,board,566.0,6.559,False
SKU-0094,dinner,172.66,23.953,True
SKU-0095,glass,421.6,10.106,True
SKU-0096,policy,255.5,17.26,True
SKU-0097,oil,130.54,3.255,False
SKU-0098,wrong,662.32,21.655,True
SKU-0099,trip,564.13,18.744,False
SKU-0100,into,143.14,17.73,True
SKU-0101,exactly,616.61,11.41,False
SKU-0102,ability,763.23,9.91,True
SKU-0103,section,114.63,15.168,True
SKU-0104,measure,402.09,5.077,True
